region,Date,type,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
Albany,2018-01-01 0:00,Conventional,1.47,113514.42,2622.7,101135.53,20.25,9735.94,5556.98,4178.96,0
Atlanta,2018-01-01 0:00,Conventional,0.95,649352.59,341061.46,41818.27,961.18,265511.68,173990.02,88882.27,2639.39
Baltimore/Washington,2018-01-01 0:00,Conventional,1.15,849487.62,66628.66,519460.2,4920.46,258478.3,245665.84,12812.46,0
Boise,2018-01-01 0:00,Conventional,1.13,79646.97,38196.44,1706.22,6263,33481.31,28764.84,4676.67,39.8
Boston,2018-01-01 0:00,Conventional,1.4,419696.59,9622.52,325398.02,2061.91,82614.14,65868.23,16745.91,0
Buffalo/Rochester,2018-01-01 0:00,Conventional,1.27,115508.29,5924.57,62632.07,25,46926.65,37397.52,9529.13,0
California,2018-01-01 0:00,Conventional,0.93,7132711.23,2280934.17,3201737.11,111845.09,1538194.86,1461095.1,20553.6,56546.16
Charlotte,2018-01-01 0:00,Conventional,0.93,346356.5,60766.53,108930.41,6349.26,170310.3,162934.08,7369.55,6.67
Chicago,2018-01-01 0:00,Conventional,0.93,1182647.5,144034.24,845964.7,120869.17,71779.39,63314.15,8409.9,55.34
Cincinnati/Dayton,2018-01-01 0:00,Conventional,0.86,278128.16,86072.67,43570.02,18071.02,130414.45,120022.99,10142.47,248.99
Columbus,2018-01-01 0:00,Conventional,0.8,221203.78,103506.03,30763.37,5224.82,81709.56,68828.14,12796.92,84.5
Dallas/Ft. Worth,2018-01-01 0:00,Conventional,0.9,1116393.2,481105.48,307423.18,4818.24,323046.3,161254.88,161616.45,174.97
Denver,2018-01-01 0:00,Conventional,0.94,938481.85,127052.75,355322.2,8950.91,447155.99,62602.48,384553.51,0
Detroit,2018-01-01 0:00,Conventional,0.84,467584.3,146333.69,91027.9,25276.56,204946.15,161600.45,41058.72,2286.98
Grand Rapids,2018-01-01 0:00,Conventional,1.09,202635.01,2522.84,103361.16,58453.24,38297.77,17391.94,4053.28,16852.55
Great Lakes,2018-01-01 0:00,Conventional,0.92,4398887.92,1092011.22,1740608.6,364049.45,1202218.65,927628.08,231172.74,43417.83
Harrisburg/Scranton,2018-01-01 0:00,Conventional,1.37,195897.4,35962.67,106173.46,56.99,53704.28,41330.39,12373.89,0
